Site,Quadrat,Quadrat_2,Category,Species,Lat,Long,Elevation (m),Weather,Date,Error (Cm/m),C_CW,H_CW,C_N,H_N,C_Forbs,C_SD,C_Litter,C_Rock,C_BG,C_Shrub,C_Shrub_2,H_Shrub,H_Shrub_2,C_Moss,LAI,B_Crested_m2,B_Native_m2,B_Grass_m2,B_Dead_m2,B_Forbs_m2,B_Shrub_m2,B_Total_m2,Wet_Biomas_m2,Moisture_m2,B_Crested_quadrat,B_Native_quadrat,B_Grass_quadrat,B_Dead_quadrat,B_Forbs_quadrat,B_Shrub_quadrat,B_Total_quadrat,Wet_Biomas_quadrat,Moisture_quadrat
C1,E1,C1E1,1,Crested,"50°38'51""","107°58'14""",560,Sunny,45441,NA,65,50,NA,NA,0,10,25,0,0,0,0,NA,NA,0,2.41,269,NA,269,121,0,159,549,1330,781,26.9,NA,26.9,12.1,NA,15.9,54.9,133,78.1
C1,E2,NA,1,Crested,"50°38'51""","107°58'14""",560,Sunny,45441,NA,30,50,NA,NA,0,10,50,0,0,10,0,22,NA,0,1.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1,N1,C1N1,1,Crested,"50°38'51""","107°58'14""",560,Sunny,45441,NA,45,34,NA,NA,0,15,40,0,0,0,0,NA,NA,0,2.71,103,NA,103,112,0,0,215,1096,881,10.3,NA,10.3,11.2,NA,NA,21.5,109.6,88.1
C1,N2,NA,1,Crested,"50°38'51""","107°58'14""",560,Sunny,45441,NA,40,45,NA,NA,0,5,55,0,0,0,0,NA,NA,0,1.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1,S1,C1S1,1,Crested,"50°38'51""","107°58'14""",560,Sunny,45441,NA,70,50,NA,NA,0,5,25,0,0,0,0,NA,NA,0,5.04,449,NA,449,167,0,0,616,1561,945,44.9,NA,44.9,16.7,NA,NA,61.6,156.1,94.5
C1,S2,NA,1,Crested,"50°38'51""","107°58'14""",560,Sunny,45441,NA,60,55,NA,NA,0,5,35,0,0,0,0,NA,NA,0,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C1,W1,C1W1,1,Crested,"50°38'51""","107°58'14""",560,Sunny,45441,NA,40,41,NA,NA,0,10,50,0,0,0,0,NA,NA,0,1.97,129,NA,129,196,0,0,325,609,284,12.9,NA,12.9,19.6,NA,NA,32.5,60.9,28.4
C1,W2,NA,1,Crested,"50°38'51""","107°58'14""",560,Sunny,45441,NA,35,46,NA,NA,0,15,50,0,0,10,0,25,NA,0,2.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C11,E1,C11E1,1,Crested,"50°39'09.334""","108°02'51.020""",660.13,"Raining, Windy",45442,83 cm,40,35,NA,NA,0,5,45,0,10,0,0,NA,NA,0,1.66,145,NA,145,94,0,0,239,748,509,14.5,NA,14.5,9.4,NA,NA,23.9,74.8,50.9
C11,E2,NA,1,Crested,"50°39'09.334""","108°02'51.020""",660.13,"Raining, Windy",45442,83 cm,45,38,NA,NA,0,0,55,0,0,0,0,NA,NA,0,1.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C11,N1,C11N1,1,Crested,"50°39'09.334""","108°02'51.020""",660.13,"Raining, Windy",45442,83 cm,35,35,NA,NA,0,5,60,0,0,0,0,NA,NA,0,1.26,148,NA,148,112,0,0,260,752,492,14.8,NA,14.8,11.2,NA,NA,26,75.2,49.2
C11,N2,NA,1,Crested,"50°39'09.334""","108°02'51.020""",660.13,"Raining, Windy",45442,83 cm,60,30,NA,NA,0,5,35,0,0,0,0,NA,NA,0,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C11,S1,C11S1,1,Crested,"50°39'09.334""","108°02'51.020""",660.13,"Raining, Windy",45442,83 cm,35,35,NA,NA,0,5,60,0,0,0,0,NA,NA,0,1.79,137,NA,137,79,0,0,216,628,412,13.7,NA,13.7,7.9,NA,NA,21.6,62.8,41.2
C11,S2,NA,1,Crested,"50°39'09.334""","108°02'51.020""",660.13,"Raining, Windy",45442,83 cm,45,35,NA,NA,0,10,45,0,0,0,0,NA,NA,0,1.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
C11,W1,C11W1,1,Crested,"50°39'09.334""","108°02'51.020""",660.13,"Raining, Windy",45442,83 cm,30,45,NA,NA,0,5,65,0,0,0,0,NA,NA,0,1.28,102,NA,102,102,0,0,204,496,292,10.2,NA,10.2,10.2,NA,NA,20.4,49.6,29.2
